id,country
0010k6l0om,NDF
0010k6l0om,US
0031awlkjq,NDF
0031awlkjq,US
00378ocvlh,US
0048rkdgb1,NDF
0048rkdgb1,US
0057snrdpu,NDF
0057snrdpu,US
005v5uf4dh,NDF
005v5uf4dh,US
0063bawn05,NDF
0063bawn05,US
006ml14zc1,NDF
006ml14zc1,US
0075z9e9xv,NDF
0075z9e9xv,US
00an0o6c07,NDF
00an0o6c07,US
00bqkh0g5i,NDF
00bqkh0g5i,US
00c8w2zol1,NDF
00c8w2zol1,US
00cdlcsaxu,NDF
00cdlcsaxu,US
00cu8ilsh0,NDF
00cu8ilsh0,US
00d41chbjd,US
00dj8as8yl,NDF
00dj8as8yl,US
00du2h6jcx,NDF
00du2h6jcx,US
00ep2pem90,NDF
00ep2pem90,US
00epe0uaxo,NDF
00epe0uaxo,US
00eqsrxf1a,NDF
00eqsrxf1a,US
00gpn5xx7t,NDF
00gpn5xx7t,US
00ipxpr25h,US
00j9fxfvut,NDF
00j9fxfvut,US
00jcwpqbl2,NDF
00jcwpqbl2,US
00jp2043rl,NDF
00jp2043rl,US
00kbbr6qom,US
00kpv7ok66,NDF
00kpv7ok66,US
00lglrzikw,NDF
00lglrzikw,US
00rc560l5d,NDF
00rc560l5d,US
00rhdi533j,US
00rri85g49,NDF
00rri85g49,US
00rudms01g,US
00tol0jq6b,NDF
00tol0jq6b,US
00u60lmz9p,NDF
00u60lmz9p,US
00ycccvlbm,NDF
00ycccvlbm,US
00ycgxqszj,NDF
00ycgxqszj,US
00ye4r0vr2,NDF
00ye4r0vr2,other
00zmemwtfc,NDF
00zmemwtfc,US
0101qa70hh,US
0103eppomz,NDF
0103eppomz,US
010u9xtmry,US
01154kld3t,US
011iw8wp1i,NDF
011iw8wp1i,US
012arqz80g,NDF
012arqz80g,US
0162c7s9xo,NDF
0162c7s9xo,US
0171cgdh5r,NDF
0171cgdh5r,US
017rmzerma,NDF
017rmzerma,US
017xmi55i2,NDF
017xmi55i2,US
018hagx0ak,US
019chjonln,NDF
019chjonln,US
019m4zvzgn,NDF
019m4zvzgn,US
019rnywata,NDF
019rnywata,US
01abo5ge4d,NDF
01abo5ge4d,US
01dh30zqjd,US
01dh6l1e0v,NDF
01dh6l1e0v,US
01dq5wt9wi,NDF
01dq5wt9wi,US
01ew44r315,NDF
01ew44r315,US
01fg7p4sw4,NDF
01fg7p4sw4,US
01h847y59t,NDF
01h847y59t,US
01hwxjvgv9,NDF
01hwxjvgv9,US
01imhrckdb,US
01j8386d5o,NDF
01j8386d5o,US
01l0vcvuks,NDF
01l0vcvuks,US
01m8ip0i8n,NDF
01m8ip0i8n,US
01mlkg3zzo,NDF
01mlkg3zzo,US
01nvbbx1ex,NDF
01nvbbx1ex,US
