id,country
0010k6l0om,NDF
0010k6l0om,US
0010k6l0om,FR
0031awlkjq,NDF
0031awlkjq,US
0031awlkjq,FR
00378ocvlh,US
00378ocvlh,FR
0048rkdgb1,NDF
0048rkdgb1,US
0048rkdgb1,FR
0057snrdpu,NDF
0057snrdpu,US
0057snrdpu,FR
005v5uf4dh,NDF
005v5uf4dh,US
005v5uf4dh,FR
0063bawn05,NDF
0063bawn05,US
0063bawn05,FR
006ml14zc1,NDF
006ml14zc1,US
006ml14zc1,FR
0075z9e9xv,NDF
0075z9e9xv,US
0075z9e9xv,FR
00an0o6c07,NDF
00an0o6c07,US
00an0o6c07,FR
00bqkh0g5i,NDF
00bqkh0g5i,US
00bqkh0g5i,FR
00c8w2zol1,NDF
00c8w2zol1,US
00c8w2zol1,FR
00cdlcsaxu,NDF
00cdlcsaxu,US
00cdlcsaxu,ES
00cu8ilsh0,NDF
00cu8ilsh0,US
00cu8ilsh0,FR
00d41chbjd,US
00d41chbjd,FR
00dj8as8yl,NDF
00dj8as8yl,US
00dj8as8yl,FR
00du2h6jcx,NDF
00du2h6jcx,US
00du2h6jcx,FR
00ep2pem90,NDF
00ep2pem90,US
00ep2pem90,FR
00epe0uaxo,NDF
00epe0uaxo,US
00epe0uaxo,FR
00eqsrxf1a,NDF
00eqsrxf1a,US
00eqsrxf1a,FR
00gpn5xx7t,NDF
00gpn5xx7t,US
00gpn5xx7t,FR
00ipxpr25h,US
00ipxpr25h,FR
00j9fxfvut,NDF
00j9fxfvut,US
00j9fxfvut,FR
00jcwpqbl2,NDF
00jcwpqbl2,US
00jcwpqbl2,FR
00jp2043rl,NDF
00jp2043rl,US
00jp2043rl,FR
00kbbr6qom,US
00kbbr6qom,FR
00kpv7ok66,NDF
00kpv7ok66,US
00kpv7ok66,FR
00lglrzikw,NDF
00lglrzikw,US
00lglrzikw,FR
00rc560l5d,NDF
00rc560l5d,US
00rc560l5d,FR
00rhdi533j,US
00rhdi533j,FR
00rri85g49,NDF
00rri85g49,US
00rri85g49,FR
00rudms01g,US
00rudms01g,FR
00tol0jq6b,NDF
00tol0jq6b,US
00tol0jq6b,FR
00u60lmz9p,NDF
00u60lmz9p,US
00u60lmz9p,FR
00ycccvlbm,NDF
00ycccvlbm,US
00ycccvlbm,FR
00ycgxqszj,NDF
00ycgxqszj,US
00ycgxqszj,FR
00ye4r0vr2,NDF
00ye4r0vr2,other
00ye4r0vr2,IT
00zmemwtfc,NDF
00zmemwtfc,US
00zmemwtfc,FR
0101qa70hh,US
0101qa70hh,FR
0103eppomz,NDF
0103eppomz,US
0103eppomz,FR
010u9xtmry,US
010u9xtmry,FR
01154kld3t,US
01154kld3t,FR
011iw8wp1i,NDF
011iw8wp1i,US
011iw8wp1i,FR
